OBJECTID,COUNTRY,year,literacy,,,,,,,
8564,Afghanistan,1950,3,,,,,,,
4850,Afghanistan,1965,6.4,,,,,,,
673,Afghanistan,1975,12.1999999999999,,,,,,,
1383,Afghanistan,1980,19.5,,,,,,,
2828,Afghanistan,1990,27.1,,,,,,,
3603,Afghanistan,1995,31.5,,,,,,,
10923,Afghanistan,2000,35.8999999999999,,,,,,,
12563,Afghanistan,2010,45.3999999999999,,,,,,,
8197,Albania,1945,24.6,,,,,,,
8565,Albania,1950,72.5,,,,,,,
8978,Albania,1955,71.5,,,,,,,
10924,Albania,2000,98.7,,,,,,,
12564,Albania,2010,95.9,,,,,,,
19054,Algeria,1950,17.5,,,,,,,
19059,Algeria,1955,19,,,,,,,
19064,Algeria,1960,10.4,,,,,,,
4852,Algeria,1965,18.8,,,,,,,
3,Algeria,1970,26.3999999999999,,,,,,,
1385,Algeria,1980,39.1,,,,,,,
2105,Algeria,1985,49.6,,,,,,,
2830,Algeria,1990,54.6,,,,,,,
3605,Algeria,1995,61.6,,,,,,,
10925,Algeria,2000,69.9,,,,,,,
11745,Algeria,2005,72.5999999999999,,,,,,,
12565,Algeria,2010,77.2,,,,,,,
19078,Angola,1950,3,,,,,,,
2106,Angola,1985,35.7,,,,,,,
2831,Angola,1990,41.7,,,,,,,
10926,Angola,2000,67.4,,,,,,,
12566,Angola,2010,70.0999999999999,,,,,,,
10499,Argentina,1895,46.7,,,,,,,
6317,Argentina,1915,64.9,,,,,,,
8198,Argentina,1945,86.4,,,,,,,
8566,Argentina,1950,87.5,,,,,,,
4261,Argentina,1960,91.4,,,,,,,
4,Argentina,1970,92.5999999999999,,,,,,,
1387,Argentina,1980,93.9,,,,,,,
2832,Argentina,1990,95.5999999999999,,,,,,,
3607,Argentina,1995,96.2,,,,,,,
10927,Argentina,2000,96.5999999999999,,,,,,,
12567,Argentina,2010,97.2999999999999,,,,,,,
19173,Armenia,1990,98.7999999999999,,,,,,,
10928,Armenia,2000,99.4,,,,,,,
12568,Armenia,2010,99.5999999999999,,,,,,,
8567,Australia,1950,98.5,,,,,,,
4262,Australia,1960,99,,,,,,,
5,Australia,1970,99,,,,,,,
1388,Australia,1980,99,,,,,,,
2833,Australia,1990,99,,,,,,,
10929,Australia,2000,99,,,,,,,
11749,Australia,2005,99,,,,,,,
12569,Australia,2010,99,,,,,,,
8568,Austria,1950,88.5,,,,,,,
4263,Austria,1960,92,,,,,,,
6,Austria,1970,94,,,,,,,
1389,Austria,1980,97,,,,,,,
2834,Austria,1990,97,,,,,,,
10930,Austria,2000,98,,,,,,,
12570,Austria,2010,98,,,,,,,
10931,Azerbaijan,2000,98.7999999999999,,,,,,,
11751,Azerbaijan,2005,99.5999999999999,,,,,,,
12571,Azerbaijan,2010,99.7999999999999,,,,,,,
19339,Bangladesh,1960,21.6,,,,,,,
681,Bangladesh,1975,25.8,,,,,,,
1391,Bangladesh,1980,29.5,,,,,,,
2836,Bangladesh,1990,35.2999999999999,,,,,,,
3613,Bangladesh,1995,38.1,,,,,,,
10933,Bangladesh,2000,47.5,,,,,,,
12573,Bangladesh,2010,56.7999999999999,,,,,,,
19422,Belarus,1990,97.9,,,,,,,
10936,Belarus,2000,99.5999999999999,,,,,,,
12576,Belarus,2010,99.5999999999999,,,,,,,
15561,Belgium,1865,59.3999999999999,,,,,,,
9695,Belgium,1880,69.4,,,,,,,
10236,Belgium,1890,74.5,,,,,,,
5495,Belgium,1900,80.4,,,,,,,
6043,Belgium,1910,86.5999999999999,,,,,,,
6597,Belgium,1920,92.2,,,,,,,
7224,Belgium,1930,94.0999999999999,,,,,,,
8201,Belgium,1945,96.7,,,,,,,
8569,Belgium,1950,96.5,,,,,,,
7,Belgium,1970,97.2,,,,,,,
1392,Belgium,1980,98.0999999999999,,,,,,,
2837,Belgium,1990,99,,,,,,,
10934,Belgium,2000,99,,,,,,,
11754,Belgium,2005,99,,,,,,,
12574,Belgium,2010,99,,,,,,,
19431,Belize,1945,81.0999999999999,,,,,,,
