Country,cvl_year,cvl_intro
Mexico,1857,1
Honduras,1880,1
Belgium,1892,1
Switzerland,1904,1
Spain,1907,1
Argentina,1912,1
Netherlands,1917,1
Luxemburg,1919,1
Australia,1924,1
Chile,1925,1
Greece,1926,1
Paraguay,1927,1
Austria,1929,1
Brazil,1932,1
Peru,1933,1
Uruguay,1934,1
Panama,1941,1
Guatemala,1945,1
Italy,1945,1
Ecuador,1946,1
Bolivia,1956,1
Egypt,1956,1
Venezuela,1958,1
Costa Rica,1959,1
Singapore,1959,1
Cyprus,1960,1
Dominican Republic,1963,1
Turkey,1982,1
Thailand,1997,1
Bulgaria,2016,1
Samoa,2019,1
Fiji,1992,1
Nauru,1965,1
